schoolname,ncesid,ncesdistid_geo,distname,level,ppe,enroll,sesavgall,baplusavgall,unempavgall,snapavgall,locale,frpl,inc50avgall
Adrian Elementary School,4.10102E+11,4101020,Adrian SD 61,Middle,14074.19564,200.74,0.1266571,0.19185211,0.058408074,0.12996839,Rural,0.63,40141
Adrian High School,4.10102E+11,4101020,Adrian SD 61,High,21201.51708,88.52409714,0.1266571,0.19185211,0.058408074,0.12996839,Rural,0.49,40141
Alsea Charter School,4.1012E+11,4101200,Alsea SD 7J,High,13716.82417,281.8221027,0.28618354,0.19830714,0.052387871,0.15077406,Rural,0.63,53067
Amity Elementary School,4.10123E+11,4101230,Amity SD 4J,Elementary,11182.77159,329.5073522,0.18005413,0.23519599,0.071234718,0.14639367,Rural,0.44,58768
Amity High School,4.10123E+11,4101230,Amity SD 4J,High,15693.24842,246.2341871,0.18005413,0.23519599,0.071234718,0.14639367,Rural,0.37,58768
Amity Middle School,4.10123E+11,4101230,Amity SD 4J,Middle,11864.88247,205.885841,0.18005413,0.23519599,0.071234718,0.14639367,Rural,0.44,58768
Eola Hills Charter School,4.10123E+11,4101230,Amity SD 4J,High,2011.405128,38.26890471,0.18005413,0.23519599,0.071234718,0.14639367,Rural,0.004616808,58768
Annex Charter School,4.10135E+11,4101350,Annex SD 29,Middle,20618.90464,89.76219512,-0.052659117,0.14507861,0.056734633,0.13809359,Rural,0.961632856,40950
Arlington Community Charter School,4.10147E+11,4101470,Arlington SD 3,High,23406.29384,163.8055556,0.013468537,0.20638546,0.067732036,0.15074123,Rural,0.955872272,53790
Ashland High School,4.10156E+11,4101560,Ashland SD 5,High,16686.32214,970.7034485,0.28741035,0.54757458,0.067578338,0.12403281,Suburb,0.29,46395
Ashland Middle School,4.10156E+11,4101560,Ashland SD 5,Middle,15477.90516,567.7305874,0.28741035,0.54757458,0.067578338,0.12403281,Suburb,0.34,46395
Bellview Elementary School,4.10156E+11,4101560,Ashland SD 5,Elementary,14234.92071,311.7769424,0.28741035,0.54757458,0.067578338,0.12403281,Suburb,0.34,46395
