sedalea,sedaleaname,fips,stateabb,math,read,pernam,perasn,perhsp,perblk,perwht,perfl,perecd,perell,perspeced,totenrl,rsflnfl,sesavgall,lninc50avgall,baplusavgall,unempavgall,snapavgall,single_momavgall,locale
100005,ALBERTVILLE CITY                                            ,1,AL,-0.143183955965757,-0.0467550117814803,0.0018611979,0.0045871376,0.39539066,0.024060022,0.57410097,0.56339848,0.64269531,0.13916332,0.059267186,2082,0,-0.51272231,10.54412,0.14800704,0.045677934,0.15436938,0.20287718,Town
100006,MARSHALL COUNTY                                             ,1,AL,-0.115978943101111,-0.0500796372136991,0.0035525709,0.0019574817,0.17706923,0.010086352,0.80733436,0.62796849,0.74240881,0.05397021,0.1068316,2610.2,0.055791158,-0.13674477,10.611585,0.14962283,0.060901482,0.10738941,0.14622924,Rural
100007,HOOVER CITY                                                 ,1,AL,0.176048227381081,0.301123551075909,0.00078198803,0.066629976,0.076935574,0.23495801,0.62069446,0.19669166,0.25028068,0.039336637,0.068741523,6570.2,0.04568347,1.5154629,11.262521,0.54903048,0.040472612,0.026761314,0.12563546,Urban
100008,MADISON CITY                                                ,1,AL,0.303720353045987,0.451796907299549,0.0056949849,0.089439593,0.038899027,0.20429561,0.6616708,0.16617025,0.20715059,0.025874898,0.083988212,4236.9,0.0059895958,1.4693873,11.326925,0.5451892,0.046394773,0.038051013,0.13510266,Suburb
100011,LEEDS CITY                                                  ,1,AL,-0.240256687912379,-0.0578095833589042,0.0027059836,0.0080363089,0.12541057,0.23650961,0.62733752,0.47104907,0.56753236,0.048611969,0.10366943,804.4,0,0.35376999,10.838936,0.27139002,0.063692257,0.073006228,0.18920054,Suburb
100012,BOAZ CITY                                                   ,1,AL,-0.115614502827486,0.0908538642286047,0.0046890383,0.0065403227,0.22992738,0.01814319,0.74070007,0.557019,0.64841735,0.068176471,0.067718275,1044.2,9.803271e-05,-0.25258929,10.512493,0.16943726,0.055628557,0.12993811,0.18595912,Town
100013,TRUSSVILLE CITY                                             ,1,AL,0.130643057721992,0.239533107779029,0.0020420607,0.023075707,0.0094314115,0.10530009,0.86015075,0.074961141,0.10323659,0.0083356043,0.062909268,2028.6,0.001502124,1.4827358,11.348258,0.3989619,0.043220326,0.027184043,0.11120128,Suburb
100030,ALEXANDER CITY                                              ,1,AL,-0.0488997596459163,0.0271119461539117,0.0014152628,0.0085435752,0.042387065,0.38983953,0.5578146,0.5296548,0.60430288,0.020422639,0.1208211,1425.1,2.371606e-05,-0.77880746,10.538093,0.1735118,0.087856755,0.17874047,0.2537283,Town
100060,ANDALUSIA CITY                                              ,1,AL,-0.0113273289371425,0.125630922664724,0.0003500462,0.015343884,0.020519497,0.32832059,0.63546598,0.51694173,0.57653219,0.0059712371,0.095569789,801.5,1.0430182e-05,-0.75636888,10.41216,0.20438021,0.08726082,0.16285039,0.26080242,Town
100090,ANNISTON CITY                                               ,1,AL,-0.457003914005617,-0.277846051285688,0.0006075725,0.0023939561,0.026592584,0.91632175,0.054084107,0.81734264,0.88430774,0.009316464,0.088853598,941.4,0.034147043,-1.4210477,10.404073,0.21677226,0.11182227,0.21307372,0.33080563,Urban
