childid,schid,tchid,cohort,treat,vocabulary,female,language_eng,disability,ethnicity,mother_edu
429,54,277,1,1,85,1,1,0,(6) Asian,13
430,54,277,1,1,118,0,1,0,(5) Hispanic,13
431,54,277,1,1,87,0,1,0,(5) Hispanic,13
433,124,254,1,0,79,0,1,0,(1) black,13
434,124,254,1,0,95,0,1,0,(1) black,14
435,124,254,1,0,94,1,1,0,(1) black,13
436,124,254,1,0,76,1,1,0,(1) black,12
447,119,296,1,0,88,1,1,0,(1) black,13
448,119,296,1,0,75,1,1,0,(1) black,12
461,126,264,1,1,116,1,1,0,(2) white,13
462,126,264,1,1,82,1,1,0,(7) Multiple,13
463,126,264,1,1,102,0,1,0,(2) white,13
465,46,272,1,0,83,0,1,0,(5) Hispanic,14
466,46,272,1,0,79,0,1,0,(5) Hispanic,13
467,46,272,1,0,96,1,1,0,(1) black,12
468,46,272,1,0,47,1,0,0,(5) Hispanic,8
473,23,175,1,1,88,1,1,0,(5) Hispanic,8
475,23,175,1,1,106,0,1,0,(5) Hispanic,13
477,34,158,1,1,101,1,1,0,(5) Hispanic,12
478,34,158,1,1,81,1,1,0,(5) Hispanic,11
479,34,158,1,1,51,0,0,0,(5) Hispanic,11
480,34,158,1,1,72,0,1,0,(5) Hispanic,13
481,63,33,1,0,108,0,1,0,(5) Hispanic,13
482,63,33,1,0,90,1,1,0,(1) black,13
484,63,33,1,0,108,1,1,0,(5) Hispanic,11
493,1,252,1,1,106,0,1,0,(1) black,14
494,1,252,1,1,112,1,1,0,(2) white,12
501,41,305,1,0,86,0,1,0,(5) Hispanic,12
502,41,305,1,0,107,1,1,0,(5) Hispanic,11
503,41,305,1,0,78,1,0,0,(5) Hispanic,8
504,41,305,1,0,58,1,0,0,(5) Hispanic,12
513,1,252,1,1,99,0,1,0,(7) Multiple,13
514,1,252,1,1,111,1,1,0,(1) black,18
515,68,35,1,1,93,1,1,0,(5) Hispanic,13
516,68,35,1,1,100,0,1,0,(1) black,13
518,68,35,1,1,89,0,1,0,(5) Hispanic,13
528,118,312,1,0,95,0,1,0,(1) black,13
529,118,312,1,0,78,1,1,0,(1) black,12
531,118,312,1,0,92,1,1,0,(1) black,16
532,86,229,1,0,97,0,1,0,(5) Hispanic,13
533,86,229,1,0,103,0,1,0,(7) Multiple,13
534,86,229,1,0,83,1,1,0,(1) black,12
536,52,273,1,0,86,0,0,0,(5) Hispanic,13
537,52,273,1,0,64,0,1,0,(5) Hispanic,12
538,52,273,1,0,98,1,1,0,(5) Hispanic,12
539,52,273,1,0,110,1,1,0,(2) white,12
544,104,97,1,0,79,1,1,0,(1) black,14
549,82,67,1,0,93,0,1,0,(1) black,13
557,82,65,1,1,93,1,1,0,(7) Multiple,18
558,82,65,1,1,100,1,1,0,(1) black,13
560,82,65,1,1,97,0,1,0,(1) black,13
567,105,222,1,1,79,1,1,0,(1) black,13
568,105,222,1,1,95,1,1,0,(1) black,14
573,105,222,1,1,88,0,1,0,(1) black,13
574,82,67,1,0,95,1,1,0,(1) black,13
575,82,67,1,0,87,1,1,0,(1) black,13
580,121,258,1,1,96,1,1,0,(1) black,11
587,55,285,1,0,109,0,1,0,(5) Hispanic,13
588,55,285,1,0,53,1,1,0,(5) Hispanic,11
596,102,237,1,0,108,1,1,0,(5) Hispanic,13
598,102,237,1,0,91,1,1,0,(5) Hispanic,13
615,10,176,1,0,119,0,1,0,(6) Asian,14
617,10,176,1,0,81,1,1,0,(6) Asian,16
618,10,176,1,0,84,1,1,0,(8) Other,16
620,114,267,1,1,91,0,1,0,(1) black,13
621,114,267,1,1,88,0,1,0,(1) black,16
623,121,258,1,1,96,1,1,0,(1) black,13
624,121,258,1,1,98,1,1,0,(1) black,12
646,73,40,1,0,88,1,1,0,(5) Hispanic,14
647,73,40,1,0,92,0,1,0,(5) Hispanic,13
648,73,40,1,0,107,1,1,0,(5) Hispanic,12
654,76,57,1,1,104,1,1,0,(1) black,13
655,76,57,1,1,93,0,1,0,(5) Hispanic,11
657,76,57,1,1,92,0,1,0,(1) black,13
660,127,294,1,0,94,1,1,0,(7) Multiple,12
661,127,294,1,0,102,0,1,0,(2) white,16
662,72,48,1,0,86,1,1,0,(1) black,13
663,72,48,1,0,100,1,1,0,(1) black,13
664,72,48,1,0,94,0,1,0,(1) black,13
666,88,119,1,0,102,0,1,0,(5) Hispanic,13
671,127,294,1,0,94,1,1,0,(5) Hispanic,16
682,127,298,1,0,105,1,1,0,(7) Multiple,13
683,127,298,1,0,101,0,1,0,(7) Multiple,12
684,127,298,1,0,92,0,1,0,(1) black,16
685,127,298,1,0,103,1,1,0,(1) black,14
729,129,313,1,1,89,0,1,0,(1) black,13
730,129,313,1,1,90,1,1,0,(1) black,11
731,129,313,1,1,82,1,1,0,(1) black,13
753,6,209,1,1,130,0,1,0,(2) white,16
754,6,209,1,1,110,1,1,0,(2) white,16
755,6,209,1,1,119,1,1,0,(2) white,16
756,6,209,1,1,115,0,1,0,(2) white,16
760,115,263,1,1,100,1,1,0,(7) Multiple,14
761,115,263,1,1,92,1,1,0,(2) white,12
762,115,263,1,1,110,0,1,0,(2) white,13
763,115,263,1,1,113,0,1,0,(2) white,13
766,55,285,1,0,53,1,0,0,(5) Hispanic,11
767,55,285,1,0,70,0,1,0,(5) Hispanic,11
771,102,237,1,0,97,0,1,0,(5) Hispanic,14
772,105,222,1,1,91,0,1,0,(1) black,12
775,125,245,1,0,90,0,1,0,(1) black,13
777,125,245,1,0,112,0,1,0,(1) black,14
779,125,245,1,0,98,1,1,0,(2) white,12
780,125,245,1,0,113,1,1,0,(2) white,13
786,92,109,1,0,77,1,1,0,(5) Hispanic,11
787,92,109,1,0,65,1,1,0,(5) Hispanic,12
788,92,109,1,0,73,0,0,0,(5) Hispanic,12
790,93,125,1,1,45,1,1,0,(5) Hispanic,12
791,93,125,1,1,87,0,1,0,(5) Hispanic,11
792,93,125,1,1,85,1,1,0,(1) black,12
793,93,125,1,1,81,1,1,0,(1) black,13
794,106,111,1,1,80,1,1,0,(1) black,16
795,106,111,1,1,73,0,1,0,(5) Hispanic,11
796,106,111,1,1,60,0,1,0,(1) black,13
797,118,243,1,1,93,0,1,0,(2) white,13
798,118,243,1,1,78,1,1,0,(1) black,11
820,118,243,1,1,86,1,1,0,(1) black,14
821,118,243,1,1,87,1,0,0,(5) Hispanic,12
840,36,199,1,0,70,1,1,0,(1) black,8
842,36,199,1,0,68,1,1,0,(1) black,11
843,36,199,1,0,93,0,1,0,(1) black,20
844,90,216,1,1,109,0,1,0,(1) black,12
849,83,106,1,1,86,1,1,0,(5) Hispanic,11
852,83,106,1,1,107,0,1,0,(5) Hispanic,12
853,83,106,1,1,87,0,0,0,(2) white,11
854,83,106,1,1,111,0,1,0,(6) Asian,16
855,101,231,1,1,116,1,1,0,(1) black,13
856,101,231,1,1,68,0,1,0,(1) black,13
877,101,232,1,0,77,1,1,0,(5) Hispanic,13
878,101,232,1,0,74,1,0,0,(5) Hispanic,8
879,101,232,1,0,95,0,1,0,(5) Hispanic,13
880,101,232,1,0,85,0,0,0,(5) Hispanic,13
892,67,89,1,1,101,0,1,0,(5) Hispanic,13
894,67,89,1,1,87,1,1,0,(5) Hispanic,12
895,67,89,1,1,61,1,1,0,(5) Hispanic,8
897,60,32,1,1,89,0,1,0,(5) Hispanic,8
898,60,32,1,1,101,0,1,0,(1) black,14
899,60,32,1,1,82,1,1,0,(5) Hispanic,11
916,78,95,1,1,95,0,1,0,(5) Hispanic,11
