district,subject,grade,achievement,gap_gender,percent_ell,percent_sped,percent_frl,percent_native,percent_asian,percent_hispanic,percent_black,percent_white
VALE SD 84,mth,3,2.53907216097918,0.973656634440184,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,rla,3,3.22984432897145,0.376142373098226,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,mth,4,3.08954187024392,-0.788240382202992,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,rla,4,4.36278620429887,-1.83025757641113,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,mth,5,4.57446236425607,0.835615948088582,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,rla,5,4.77801976304975,0.357031056334803,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,mth,6,6.0302452760982,0.86314316952479,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
VALE SD 84,rla,6,6.11476096721569,0.690999539266815,0.049234137,0.12800875,0.62161022,0.0077470518,0.012369233,0.22344092,0.0014511822,0.75499165
GERVAIS SD 1,mth,3,2.18624556192454,-0.528262950721747,0.2027972,0.13986014,0.73396438,0.004221065,0.010309093,0.59366006,0.0012361287,0.39057365
GERVAIS SD 1,mth,6,5.72275713740542,-0.611436909624465,0.2027972,0.13986014,0.73396438,0.004221065,0.010309093,0.59366006,0.0012361287,0.39057365
YAMHILL CARLTON SD 1,mth,3,3.1496945489932,-1.08708988216264,0.014354067,0.14066985,0.43351972,0.0042249421,0.0073004328,0.10686559,0.0082634529,0.87334555
YAMHILL CARLTON SD 1,rla,3,3.32036622012997,-1.70379639415529,0.014354067,0.14066985,0.43351972,0.0042249421,0.0073004328,0.10686559,0.0082634529,0.87334555
YAMHILL CARLTON SD 1,mth,4,2.78196956888339,-0.582765343186986,0.014354067,0.14066985,0.43351972,0.0042249421,0.0073004328,0.10686559,0.0082634529,0.87334555
YAMHILL CARLTON SD 1,rla,4,3.16821012866023,-2.69530164990155,0.014354067,0.14066985,0.43351972,0.0042249421,0.0073004328,0.10686559,0.0082634529,0.87334555
YAMHILL CARLTON SD 1,mth,5,6.48364524922916,-0.526000436230935,0.014354067,0.14066985,0.43351972,0.0042249421,0.0073004328,0.10686559,0.0082634529,0.87334555
YAMHILL CARLTON SD 1,rla,5,6.48511372414373,-1.730903257635,0.014354067,0.14066985,0.43351972,0.0042249421,0.0073004328,0.10686559,0.0082634529,0.87334555
